sale_id,store_id,product_id,product_name,customer_id,quantity,unit_price,total_amount,sale_date,country
SAL-20260526-0001,S001,P002,Mouse,C001,2,29.99,59.98,2026-05-26,Germny
SAL-20260526-0002,S001,P001,Laptop,C007,1,999.99,999.99,2026-05-26,Germ@ny
SAL-20260526-0003,S002,P003,Keyboard,C001,1,89.99,89.99,2026-05-26,GERMANY
SAL-20260526-0004,S003,P004,Monitor,C002,1,449.99,449.99,2026-05-26,Sp@in
SAL-20260526-0005,S003,P002,Mouse,C002,6,29.99,179.94,2026-05-26,Spain
SAL-20260526-0006,S004,P001,Laptop,C004,1,999.99,999.99,2026-05-26,Fr@nce
SAL-20260526-0007,S004,P005,Headset,C004,2,79.99,159.98,2026-05-26,Franc3
SAL-20260526-0008,S005,P002,Mouse,C003,4,29.99,119.96,2026-05-26,Jap@n
SAL-20260526-0009,S005,P004,Monitor,C003,1,449.99,449.99,2026-05-26,JAPAN
SAL-20260526-0010,S006,P001,Laptop,C005,1,999.99,999.99,2026-05-26,U.K.
SAL-20260526-0011,S007,P003,Keyboard,C009,2,89.99,179.98,2026-05-26,Uni+ed Kingdom
SAL-20260526-0012,S007,P005,Headset,C009,1,79.99,79.99,2026-05-26,Uni+ed Kingdom
